problem_id,proposed_score,baseline_score,proposed_total_tokens,baseline_total_tokens,baseline_first_final_score_iteration,baseline_tokens_at_first_final_score,baseline_first_plateau_iteration,baseline_tokens_at_plateau,baseline_score_at_matched_proposed_tokens,baseline_score_at_matched_proposed_paid_tokens
EvoEval_creative/0,1.0,1.0,13511,16593,1,16593,0,0,0.0,0.0
EvoEval_creative/1,0.84,0.84,21713,25229,1,15515,3,25229,0.84,0.0
EvoEval_creative/2,1.0,1.0,4279,13338,1,13338,0,0,0.0,0.0
EvoEval_creative/3,1.0,1.0,12520,16431,1,16431,0,0,0.0,0.0
EvoEval_creative/4,0.944444,0.944444,19882,15683,1,11000,3,15683,0.944444,0.0
EvoEval_creative/5,1.0,1.0,4322,7132,1,7132,0,0,0.0,0.0
EvoEval_creative/6,0.875,0.916667,47306,27545,1,19302,3,27545,0.916667,0.916667
EvoEval_creative/7,1.0,1.0,4203,15755,1,15755,0,0,0.0,0.0
EvoEval_creative/8,1.0,1.0,13974,18386,1,18386,0,0,0.0,0.0
EvoEval_creative/9,1.0,1.0,4236,5830,1,5830,0,0,0.0,0.0
EvoEval_creative/10,1.0,1.0,18591,15870,1,15870,0,0,1.0,0.0
EvoEval_creative/11,1.0,1.0,13704,15385,3,15385,0,0,0.9375,0.0
EvoEval_creative/12,1.0,1.0,3552,3103,1,3103,0,0,1.0,0.0
EvoEval_creative/13,0.888889,0.888889,16818,11672,1,5850,3,11672,0.888889,0.888889
EvoEval_creative/14,1.0,1.0,4041,7374,1,7374,0,0,0.0,0.0
EvoEval_creative/15,0.92,0.92,38788,23312,1,14411,3,23312,0.92,0.92
EvoEval_creative/16,0.833333,0.916667,20968,21278,2,16150,4,21278,0.916667,0.0
EvoEval_creative/17,1.0,1.0,13877,7660,1,7660,0,0,1.0,0.0
EvoEval_creative/18,1.0,1.0,4014,13181,1,13181,0,0,0.0,0.0
EvoEval_creative/19,1.0,1.0,4226,17184,1,17184,0,0,0.0,0.0
EvoEval_creative/20,1.0,1.0,3057,12687,1,12687,0,0,0.0,0.0
EvoEval_creative/21,0.952381,0.952381,20477,22382,1,16774,3,22382,0.952381,0.0
EvoEval_creative/22,1.0,1.0,4918,13784,1,13784,0,0,0.0,0.0
EvoEval_creative/23,0.88,0.88,25911,23520,1,14529,3,23520,0.88,0.0
EvoEval_creative/24,1.0,1.0,2979,2205,1,2205,0,0,1.0,0.0
EvoEval_creative/25,0.727273,0.727273,18134,17651,1,8532,3,17651,0.727273,0.0
EvoEval_creative/26,1.0,1.0,49042,37532,3,37532,0,0,1.0,0.916667
EvoEval_creative/27,1.0,1.0,3732,4492,1,4492,0,0,0.0,0.0
EvoEval_creative/28,0.88,0.96,17232,27498,2,19755,4,27498,0.92,0.0
EvoEval_creative/29,0.923077,0.923077,16420,14634,1,9361,3,14634,0.923077,0.0
EvoEval_creative/30,0.958333,0.0,42035,0,1,0,0,0,0.0,0.0
EvoEval_creative/31,1.0,1.0,4398,13275,1,13275,0,0,0.0,0.0
EvoEval_creative/32,1.0,1.0,14630,20667,1,20667,0,0,0.0,0.0
EvoEval_creative/33,0.92,0.92,18031,20578,1,14464,3,20578,0.92,0.0
EvoEval_creative/34,0.916667,0.916667,24369,26529,2,19954,4,26529,0.916667,0.0
EvoEval_creative/35,0.857143,0.857143,27270,23915,1,13511,3,23915,0.857143,0.857143
EvoEval_creative/36,1.0,1.0,4191,5986,1,5986,0,0,0.0,0.0
EvoEval_creative/37,1.0,1.0,24004,12732,1,12732,0,0,1.0,1.0
EvoEval_creative/38,1.0,1.0,3241,2793,1,2793,0,0,1.0,0.0
EvoEval_creative/39,0.888889,0.888889,15454,10399,1,6143,3,10399,0.888889,0.0
EvoEval_creative/40,0.952381,0.952381,21920,23384,1,14700,3,23384,0.952381,0.0
EvoEval_creative/41,1.0,1.0,45870,31683,3,31683,0,0,1.0,1.0
EvoEval_creative/42,1.0,1.0,4176,11603,1,11603,0,0,0.0,0.0
EvoEval_creative/43,1.0,1.0,13696,15097,1,15097,0,0,0.0,0.0
EvoEval_creative/44,0.8,0.8,16209,15736,1,7841,3,15736,0.8,0.0
EvoEval_creative/45,1.0,1.0,4017,4025,1,4025,0,0,0.0,0.0
EvoEval_creative/46,1.0,1.0,4195,4492,1,4492,0,0,0.0,0.0
EvoEval_creative/47,0.9,0.9,20062,13633,1,4885,3,13633,0.9,0.9
EvoEval_creative/48,1.0,1.0,4327,7254,1,7254,0,0,0.0,0.0
EvoEval_creative/49,1.0,1.0,3923,3749,1,3749,0,0,1.0,0.0
