completion_tokens,dataset_name,dataset_subset,equivalent_adjusted_score,equivalent_mutants,estimated_cost_usd,final_score,generated_tests,invalid_calls,kill_agreement_accuracy,kill_f1,kill_precision,kill_recall,killed_mutants,layer1_calls,layer1_cost_usd,layer1_tokens,layer2_calls,layer2_cost_usd,layer2_tokens,layer3_calls,layer3_cost_usd,layer3_tokens,llm_calls,models,official_equivalent_adjusted_score,official_killed,official_score,paid_api_cost_usd,paid_api_tokens,parent_task_id,problem_id,productive_calls,prompt_chars,prompt_tokens,providers,response_chars,runtime_sec,sanity_passed,source_task_id,surviving_mutants,thoughts_tokens,total_mutants,total_tokens,zero_kill_calls
473,evoeval,creative,1.0,0,0.0022045,1.0,2,0,0.48,0.6486,0.48,1.0,25,3,0.0,10811,1,0.0022045,2700,0,0,0,4,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini",0.48,12,0.48,0.0022045,2700,HumanEval/0,EvoEval_creative/0,2,48575,12206,"hf,openai",1190,188.948,True,EvoEval/0,0,832,25,13511,2
578,evoeval,creative,0.84,0,0.0269315,0.84,2,0,1.0,1.0,1.0,1.0,21,3,0.0,10922,2,0.00909375,8018,1,0.01783775,2773,6,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.84,21,0.84,0.0269315,10791,HumanEval/1,EvoEval_creative/1,2,61155,16222,"hf,openai",1514,259.426,True,EvoEval/1,4,4913,25,21713,4
183,evoeval,creative,1.0,0,0.0,1.0,1,0,1.0,1.0,1.0,1.0,16,1,0.0,4279,0,0,0,0,0,0,1,Qwen/Qwen2.5-Coder-3B-Instruct,1.0,16,1.0,0,0,HumanEval/2,EvoEval_creative/2,1,17640,4096,hf,832,134.137,True,EvoEval/2,0,0,16,4279,0
358,evoeval,creative,1.0,0,0.0027415,1.0,2,0,1.0,1.0,1.0,1.0,23,3,0.0,9912,1,0.0027415,2608,0,0,0,4,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini",1.0,23,1.0,0.0027415,2608,HumanEval/3,EvoEval_creative/3,2,45411,11010,"hf,openai",1025,131.094,True,EvoEval/3,0,1152,23,12520,2
675,evoeval,creative,0.9444,0,0.0403765,0.944444,2,0,1.0,1.0,1.0,1.0,17,3,0.0,10598,1,0.00498625,4020,2,0.03539025,5264,6,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.9444,17,0.9444,0.0403765,9284,HumanEval/4,EvoEval_creative/4,2,57374,15052,"hf,openai",2074,187.499,True,EvoEval/4,1,4155,18,19882,4
226,evoeval,creative,1.0,0,0.0,1.0,1,0,1.0,1.0,1.0,1.0,12,1,0.0,4322,0,0,0,0,0,0,1,Qwen/Qwen2.5-Coder-3B-Instruct,1.0,12,1.0,0,0,HumanEval/5,EvoEval_creative/5,1,16104,4096,hf,683,47.802,True,EvoEval/5,0,0,12,4322,0
2255,evoeval,creative,0.875,0,0.057204,0.875,6,0,0.6667,0.7647,0.619,1.0,21,3,0.0,12716,6,0.031486,30709,1,0.025718,3881,10,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.5417,13,0.5417,0.057204,34590,HumanEval/6,EvoEval_creative/6,6,104436,31418,"hf,openai",5619,692.64,True,EvoEval/6,3,13633,24,47306,4
107,evoeval,creative,1.0,0,0.0,1.0,1,0,1.0,1.0,1.0,1.0,25,1,0.0,4203,0,0,0,0,0,0,1,Qwen/Qwen2.5-Coder-3B-Instruct,1.0,25,1.0,0,0,HumanEval/7,EvoEval_creative/7,1,16096,4096,hf,428,76.726,True,EvoEval/7,0,0,25,4203,0
332,evoeval,creative,1.0,0,0.003837,1.0,2,0,1.0,1.0,1.0,1.0,25,3,0.0,10505,1,0.003837,3469,0,0,0,4,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini",1.0,25,1.0,0.003837,3469,HumanEval/8,EvoEval_creative/8,2,50153,11978,"hf,openai",1323,154.129,True,EvoEval/8,0,1664,25,13974,2
140,evoeval,creative,1.0,0,0.0,1.0,1,0,1.0,1.0,1.0,1.0,9,1,0.0,4236,0,0,0,0,0,0,1,Qwen/Qwen2.5-Coder-3B-Instruct,1.0,9,1.0,0,0,HumanEval/9,EvoEval_creative/9,1,17359,4096,hf,663,34.897,True,EvoEval/9,0,0,9,4236,0
