baseline_equivalent_adjusted_score,baseline_estimated_cost_usd,baseline_first_final_score_iteration,baseline_first_plateau_iteration,baseline_generated_tests,baseline_iterations,baseline_kill_agreement_accuracy,baseline_killed,baseline_llm_calls,baseline_models,baseline_paid_cost_usd,baseline_paid_tokens,baseline_providers,baseline_runtime_sec,baseline_score,baseline_score_at_matched_proposed_paid_tokens,baseline_score_at_matched_proposed_tokens,baseline_tokens_at_first_final_score,baseline_tokens_at_plateau,baseline_total_tokens,cluster_compression_ratio,dataset_name,dataset_subset,equivalent_mutants,final_layer_used,layer1_iterations,layer1_killed_mutants,layer1_new_kills,layer1_num_clusters,layer1_representatives,layer2_new_kills,layer2_used,layer3_new_kills,layer3_used,official_equivalent_adjusted_score,official_killed,official_score,parent_task_id,problem_id,proposed_equivalent_adjusted_score,proposed_estimated_cost_usd,proposed_generated_tests,proposed_kill_agreement_accuracy,proposed_killed,proposed_llm_calls,proposed_models,proposed_paid_cost_usd,proposed_paid_tokens,proposed_providers,proposed_runtime_sec,proposed_score,proposed_total_tokens,score_delta_proposed_minus_baseline,source_task_id,token_delta_proposed_minus_baseline,total_mutants
1.0,0.06390125,1,0,1,1,0.48,25,1,gpt-5.2,0.06390125,16593,openai,47.277,1.0,0.0,0.0,16593,0,16593,5.0,evoeval,creative,0,2,3,24,24,5,5,1,True,0,False,0.48,12,0.48,HumanEval/0,EvoEval_creative/0,1.0,0.0022045,2,0.48,25,4,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini",0.0022045,2700,"hf,openai",123.6275,1.0,13511,0.0,EvoEval/0,-3082,25
0.84,0.14538475,1,3,1,3,1.0,21,3,gpt-5.2,0.14538475,25229,openai,125.411,0.84,0.0,0.84,15515,25229,25229,5.0,evoeval,creative,0,3,3,19,19,5,5,2,True,0,True,0.84,21,0.84,HumanEval/1,EvoEval_creative/1,0.84,0.0269315,2,1.0,21,6,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.0269315,10791,"hf,openai",116.1059,0.84,21713,0.0,EvoEval/1,-3516,25
1.0,0.0790545,1,0,1,1,1.0,16,1,gpt-5.2,0.0790545,13338,openai,78.017,1.0,0.0,0.0,13338,0,13338,3.2,evoeval,creative,0,1,1,16,16,5,5,0,False,0,False,1.0,16,1.0,HumanEval/2,EvoEval_creative/2,1.0,0.0,1,1.0,16,1,Qwen/Qwen2.5-Coder-3B-Instruct,0,0,hf,29.4647,1.0,4279,0.0,EvoEval/2,-9059,16
1.0,0.07684775,1,0,1,1,1.0,23,1,gpt-5.2,0.07684775,16431,openai,56.595,1.0,0.0,0.0,16431,0,16431,4.6,evoeval,creative,0,2,3,22,22,5,5,1,True,0,False,1.0,23,1.0,HumanEval/3,EvoEval_creative/3,1.0,0.0027415,2,1.0,23,4,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini",0.0027415,2608,"hf,openai",57.0206,1.0,12520,0.0,EvoEval/3,-3911,23
0.9444,0.068936,1,3,1,3,1.0,17,3,gpt-5.2,0.068936,15683,openai,52.353,0.944444,0.0,0.944444,11000,15683,15683,3.6,evoeval,creative,0,3,3,16,16,5,5,0,True,1,True,0.9444,17,0.9444,HumanEval/4,EvoEval_creative/4,0.9444,0.0403765,2,1.0,17,6,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.0403765,9284,"hf,openai",121.97,0.944444,19882,0.0,EvoEval/4,4199,18
1.0,0.02062725,1,0,1,1,1.0,12,1,gpt-5.2,0.02062725,7132,openai,12.037,1.0,0.0,0.0,7132,0,7132,2.4,evoeval,creative,0,1,1,12,12,5,5,0,False,0,False,1.0,12,1.0,HumanEval/5,EvoEval_creative/5,1.0,0.0,1,1.0,12,1,Qwen/Qwen2.5-Coder-3B-Instruct,0,0,hf,27.7883,1.0,4322,0.0,EvoEval/5,-2810,12
0.9167,0.15367625,1,3,1,3,0.625,22,3,gpt-5.2,0.15367625,27545,openai,376.559,0.916667,0.916667,0.916667,19302,27545,27545,4.8,evoeval,creative,0,3,3,13,13,5,5,8,True,0,True,0.5417,13,0.5417,HumanEval/6,EvoEval_creative/6,0.875,0.057204,6,0.6667,21,10,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini,gpt-5.2",0.057204,34590,"hf,openai",296.5266,0.875,47306,-0.041667,EvoEval/6,19761,24
1.0,0.05964175,1,0,1,1,1.0,25,1,gpt-5.2,0.05964175,15755,openai,41.909,1.0,0.0,0.0,15755,0,15755,6.25,evoeval,creative,0,1,1,25,25,4,4,0,False,0,False,1.0,25,1.0,HumanEval/7,EvoEval_creative/7,1.0,0.0,1,1.0,25,1,Qwen/Qwen2.5-Coder-3B-Instruct,0,0,hf,16.7272,1.0,4203,0.0,EvoEval/7,-11552,25
1.0,0.0909265,1,0,1,1,1.0,25,1,gpt-5.2,0.0909265,18386,openai,73.106,1.0,0.0,0.0,18386,0,18386,5.0,evoeval,creative,0,2,3,24,24,5,5,1,True,0,False,1.0,25,1.0,HumanEval/8,EvoEval_creative/8,1.0,0.003837,2,1.0,25,4,"Qwen/Qwen2.5-Coder-3B-Instruct,gpt-5-mini",0.003837,3469,"hf,openai",62.2187,1.0,13974,0.0,EvoEval/8,-4412,25
1.0,0.01653575,1,0,1,1,1.0,9,1,gpt-5.2,0.01653575,5830,openai,9.449,1.0,0.0,0.0,5830,0,5830,1.8,evoeval,creative,0,1,1,9,9,5,5,0,False,0,False,1.0,9,1.0,HumanEval/9,EvoEval_creative/9,1.0,0.0,1,1.0,9,1,Qwen/Qwen2.5-Coder-3B-Instruct,0,0,hf,18.6299,1.0,4236,0.0,EvoEval/9,-1594,9
