problem_id,iteration,status,new_kills,cumulative_kills,cumulative_score,iteration_tokens,cumulative_tokens,cumulative_paid_tokens,surviving_count,failure_category,candidate_calls,assertions,error
EvoEval_creative/0,1,PRODUCTIVE,25,25,1.0,16593,16593,16593,0,NONE,"[""candidate([5.0], 'Local')"", ""candidate([5.5], 'International')"", ""candidate([1.0], 'National')"", ""candidate(['x', 1.0], 'Mars')""]","[""candidate([5.0], 'Local') == '5.00'"", ""candidate([5.5], 'International') == '37.50'"", ""candidate([1.0], 'National') == '7.50'"", ""candidate(['x', 1.0], 'Mars') == '15.00'""]",
EvoEval_creative/10,1,PRODUCTIVE,22,22,1.0,15870,15870,15870,0,NONE,"[""candidate('C| C|| C||| X|||| D|| B|||')"", ""candidate('D| D|| D||| D|||| D|||||')"", ""candidate('B| B|| B||| B|||| B|||||')""]","[""candidate('C| C|| C||| X|||| D|| B|||') == [1, 2, 2]"", ""candidate('D| D|| D||| D|||| D|||||') == [1, 2]"", ""candidate('B| B|| B||| B|||| B|||||') == [1, 2]""]",
EvoEval_creative/11,1,PRODUCTIVE,15,15,0.9375,10545,10545,10545,1,NONE,"[""candidate(['kiwi'], 'Peru')"", ""candidate(['apple', 'banana'], 'Hawaii')""]","[""candidate(['kiwi'], 'Peru') == 'Oh, are those kiwi from Peru? Marvelous!'"", ""candidate(['apple', 'banana'], 'Hawaii') == 'Oh, are those apple and banana from Hawaii? Marvelous!'""]",
EvoEval_creative/11,2,VALID_ZERO_KILL,0,15,0.9375,2106,12651,12651,1,VALID_ZERO_KILL,"[""candidate(['apples', 'bananas', 'cherries'], 'Ohio')""]","[""candidate(['apples', 'bananas', 'cherries'], 'Ohio') == 'Oh, are those apples, bananas and cherries from Ohio? Marvelous!'""]",valid but unproductive: killed zero active mutants
EvoEval_creative/11,3,PRODUCTIVE,1,16,1.0,2734,15385,15385,0,NONE,"[""candidate(fruits, 'Spain')""]","[""candidate(fruits, 'Spain') == 'Oh, are those mango from Spain? Marvelous!'""]",
EvoEval_creative/12,1,PRODUCTIVE,4,4,1.0,3103,3103,3103,0,NONE,"['candidate([1, 2, 2, 3])']","['candidate([1, 2, 2, 3]) == 16']",
EvoEval_creative/13,1,PRODUCTIVE,8,8,0.8888888888888888,5850,5850,5850,1,NONE,"[""candidate(['z', 'a', 'a'])"", 'candidate([])']","[""candidate(['z', 'a', 'a']) == 'z'"", 'candidate([]) is None']",
EvoEval_creative/13,2,VALID_ZERO_KILL,0,8,0.8888888888888888,2677,8527,8527,1,VALID_ZERO_KILL,"[""candidate(['x', 'y'])"", ""candidate(['a', 'b', 'c', 'a', 'b', 'd'])""]","[""candidate(['x', 'y']) == 'x'"", ""candidate(['a', 'b', 'c', 'a', 'b', 'd']) == 'c'""]",valid but unproductive: killed zero active mutants
EvoEval_creative/13,3,VALID_ZERO_KILL,0,8,0.8888888888888888,3145,11672,11672,1,VALID_ZERO_KILL,"[""candidate(['solo'])""]","[""candidate(['solo']) == 'solo'""]",valid but unproductive: killed zero active mutants
EvoEval_creative/14,1,PRODUCTIVE,14,14,1.0,7374,7374,7374,0,NONE,"[""candidate('John Doe')""]","[""candidate('John Doe') == 'Kujp Fui'""]",
EvoEval_creative/15,1,PRODUCTIVE,23,23,0.92,14411,14411,14411,2,NONE,"[""candidate(['10H', '10D', '2C', '3S', '4H'])"", ""candidate(['AH', 'AD', 'KS', 'KD', '2C'])"", ""candidate(['JH', 'JD', 'QS', 'QD', '3C'])"", ""candidate(['7H', '7D', '7S', '2C', '3D'])"", ""candidate(['9H', '9D', '9S', '9C', '2D'])"", ""candidate(['4H', '4D', '4S', '4C', '4H'])"", ""candidate(['AS', '2H', '3D', '4C', '6S'])""]","[""candidate(['10H', '10D', '2C', '3S', '4H']) == 10"", ""candidate(['AH', 'AD', 'KS', 'KD', '2C']) == 14"", ""candidate(['JH', 'JD', 'QS', 'QD', '3C']) == 23"", ""candidate(['7H', '7D', '7S', '2C', '3D']) == 14"", ""candidate(['9H', '9D', '9S', '9C', '2D']) == 27"", ""candidate(['4H', '4D', '4S', '4C', '4H']) == 16"", ""candidate(['AS', '2H', '3D', '4C', '6S']) == 0""]",
EvoEval_creative/15,2,VALID_ZERO_KILL,0,23,0.92,4731,19142,19142,2,VALID_ZERO_KILL,"[""candidate(['QH', 'QD', 'QS', 'JH', 'JD'])"", ""candidate(['6H', '6D', '6S', '9C', '9D'])""]","[""candidate(['QH', 'QD', 'QS', 'JH', 'JD']) == 35"", ""candidate(['6H', '6D', '6S', '9C', '9D']) == 21""]",valid but unproductive: killed zero active mutants
EvoEval_creative/15,3,VALID_ZERO_KILL,0,23,0.92,4170,23312,23312,2,VALID_ZERO_KILL,"[""candidate(['10H', '10D', '10S', '10C', '10A'])""]","[""candidate(['10H', '10D', '10S', '10C', '10A']) == 40""]",valid but unproductive: killed zero active mutants
EvoEval_creative/16,1,PRODUCTIVE,20,20,0.8333333333333334,12502,12502,12502,4,NONE,"['candidate(1)', 'candidate(2)', 'candidate(3)', 'candidate(4)']","['r1 == 0', 'type(r1) is int', 'candidate(2) == 1', 'candidate(3) == 2', 'candidate(4) == 4']",
EvoEval_creative/16,2,PRODUCTIVE,2,22,0.9166666666666666,3648,16150,16150,2,NONE,['candidate(0)'],"['r0 == 0', 'type(r0) is int']",
EvoEval_creative/16,3,VALID_ZERO_KILL,0,22,0.9166666666666666,2537,18687,18687,2,VALID_ZERO_KILL,['candidate(10)'],"['r10 == 88', 'type(r10) is int']",valid but unproductive: killed zero active mutants
EvoEval_creative/16,4,VALID_ZERO_KILL,0,22,0.9166666666666666,2591,21278,21278,2,VALID_ZERO_KILL,['candidate(30)'],"['r30 == 1346268', 'type(r30) is int']",valid but unproductive: killed zero active mutants
EvoEval_creative/17,1,PRODUCTIVE,13,13,1.0,7660,7660,7660,0,NONE,"[""candidate(6, [('A', 5), ('B', 1)])"", ""candidate(10, [('A', 3), ('B', 3)])""]","[""candidate(6, [('A', 5), ('B', 1)]) == 'B'"", ""candidate(10, [('A', 3), ('B', 3)]) == 'The dragon won!'""]",
EvoEval_creative/18,1,PRODUCTIVE,21,21,1.0,13181,13181,13181,0,NONE,['candidate(2)'],['candidate(2) == 70'],
EvoEval_creative/19,1,PRODUCTIVE,19,19,1.0,17184,17184,17184,0,NONE,"['candidate([[1, 0], [0, 1]])', 'candidate([[2, 1], [1, 1]])', 'candidate([[2, 1], [1, 0]])']","['candidate([[1, 0], [0, 1]]) == 0', 'candidate([[2, 1], [1, 1]]) == 2', 'candidate([[2, 1], [1, 0]]) == 2']",
EvoEval_creative/1,1,PRODUCTIVE,21,21,0.84,15515,15515,15515,4,NONE,"[""candidate([5.0, 6.0, 'x'], 'Local')"", ""candidate([1.0], 'National')"", ""candidate([1.0], 'International')"", ""candidate([1.0], 'Moon')""]","[""candidate([5.0, 6.0, 'x'], 'Local') == 25.0"", ""candidate([1.0], 'National') == 7.5"", ""candidate([1.0], 'International') == 12.5"", ""candidate([1.0], 'Moon') == 5.0""]",
EvoEval_creative/1,2,VALID_ZERO_KILL,0,21,0.84,4437,19952,19952,4,VALID_ZERO_KILL,"[""candidate([5.0, 5.01, 'A'], 'National')"", ""candidate(['Book', 6.0], 'local')""]","[""candidate([5.0, 5.01, 'A'], 'National') == 37.5"", ""candidate(['Book', 6.0], 'local') == 20.0""]",valid but unproductive: killed zero active mutants
EvoEval_creative/1,3,VALID_ZERO_KILL,0,21,0.84,5277,25229,25229,4,VALID_ZERO_KILL,"[""candidate(['Book', 5.0, 5.00001, 6.0], 'National')""]","[""candidate(['Book', 5.0, 5.00001, 6.0], 'National') == 60.0""]",valid but unproductive: killed zero active mutants
EvoEval_creative/20,1,PRODUCTIVE,22,22,1.0,12687,12687,12687,0,NONE,"['candidate(0)', 'candidate(1)', 'candidate(2)']","['candidate(0) == []', ""candidate(1) == ['1', '1']"", ""candidate(2) == ['1', '1,2', '2,1', '1']""]",
EvoEval_creative/21,1,PRODUCTIVE,20,20,0.9523809523809523,16774,16774,16774,1,NONE,"[""candidate(grid, ['dcba', 'plhd'])"", ""candidate(grid, ['zz'])""]","[""candidate(grid, ['dcba', 'plhd']) == True"", ""candidate(grid, ['zz']) == False""]",
EvoEval_creative/21,2,VALID_ZERO_KILL,0,20,0.9523809523809523,2112,18886,18886,1,VALID_ZERO_KILL,"[""candidate(grid, ['abc', 'fed', 'cfi', 'ihg', 'adg'])""]","[""candidate(grid, ['abc', 'fed', 'cfi', 'ihg', 'adg']) == True""]",valid but unproductive: killed zero active mutants
EvoEval_creative/21,3,VALID_ZERO_KILL,0,20,0.9523809523809523,3496,22382,22382,1,VALID_ZERO_KILL,"['candidate(grid, [])', ""candidate(grid, ['ab', 'dc', 'ac', 'ca', 'bd', 'db'])""]","['candidate(grid, []) is True', ""candidate(grid, ['ab', 'dc', 'ac', 'ca', 'bd', 'db']) is True""]",valid but unproductive: killed zero active mutants
EvoEval_creative/22,1,PRODUCTIVE,25,25,1.0,13784,13784,13784,0,NONE,"['candidate(1, 300000)']","['isinstance(res, (int, float))', 'math.isclose(res, 0.9999788605855618, rel_tol=0.0, abs_tol=1e-12)']",
EvoEval_creative/23,1,PRODUCTIVE,22,22,0.88,14529,14529,14529,3,NONE,"[""candidate('azZ!')""]","[""candidate('azZ!') == expected""]",
EvoEval_creative/23,2,VALID_ZERO_KILL,0,22,0.88,3948,18477,18477,3,VALID_ZERO_KILL,"[""candidate('a1b2c3XYZxyz!')""]","[""candidate('a1b2c3XYZxyz!') == '213253XYZ8997101!'""]",valid but unproductive: killed zero active mutants
EvoEval_creative/23,3,REJECTED,0,22,0.88,5043,23520,23520,3,CANONICAL_EXECUTION_FAILURE,"[""candidate('a')""]","[""(out, counter['append_calls']) == ('2', 26)""]","test_0: FAIL - assertion failed (no message); locals at failure: {'sys': <module 'sys' (built-in)>, 'profiler': <function __cluse_check_0.<locals>.profiler at 0x7ca96871d300>, 'old': None, 'out': '2', 'counter': {'append_calls': 0}}"
EvoEval_creative/24,1,PRODUCTIVE,2,2,1.0,2205,2205,2205,0,NONE,"[""candidate('hello')"", ""candidate('')""]","[""candidate('hello') == '#%((?'"", ""candidate('') == ''""]",
EvoEval_creative/25,1,PRODUCTIVE,8,8,0.7272727272727273,8532,8532,8532,3,NONE,"[""candidate('alpha key. beta key.', 'key')""]","[""result == (2, 'alpha key')""]",
EvoEval_creative/25,2,VALID_ZERO_KILL,0,8,0.7272727272727273,4234,12766,12766,3,VALID_ZERO_KILL,"[""candidate(text, 'spam')""]","[""result == (6, 'spam spam spam')""]",valid but unproductive: killed zero active mutants
