method,problem_id,layer,attempt,provider,model,status,target_count,new_kills,cumulative_score,prompt_tokens,completion_tokens,total_tokens,prompt_chars,response_chars,latency_sec,estimated_cost_usd,validation_reason
proposed,EvoEval_creative/0,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,5,24,0.96,4096,224,4320,17957,453,26.8687,0.0,
proposed,EvoEval_creative/0,Layer1,2,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.96,3135,76,3211,12033,256,9.8774,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/0,Layer1,3,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.96,3149,131,3280,12098,413,15.1611,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/0,Layer2,1,openai,gpt-5-mini,PRODUCTIVE,1,1,1.0,1826,42,2700,6487,68,12.0736,0.0022045,
proposed,EvoEval_creative/10,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,2,17,0.7727272727272727,3110,60,3170,12578,159,8.6371,0.0,
proposed,EvoEval_creative/10,Layer1,2,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.7727272727272727,2817,88,2905,11365,307,10.6662,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/10,Layer1,3,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.7727272727272727,2831,88,2919,11430,307,11.1065,0.0,valid but unproductive: killed zero active mutants
proposed,EvoEval_creative/10,Layer2,1,openai,gpt-5-mini,PRODUCTIVE,1,2,0.8636363636363636,1576,67,2731,5902,67,12.7556,0.002704,
proposed,EvoEval_creative/10,Layer2,2,openai,gpt-5-mini,PRODUCTIVE,1,2,0.9545454545454546,1772,193,3757,6468,530,22.8851,0.004413,
proposed,EvoEval_creative/10,Layer2,3,openai,gpt-5-mini,PRODUCTIVE,1,1,1.0,1797,32,3109,6575,67,14.934,0.00307325,
proposed,EvoEval_creative/11,Layer1,1,hf,Qwen/Qwen2.5-Coder-3B-Instruct,PRODUCTIVE,5,15,0.9375,4096,371,4467,18955,1328,38.829,0.0,
proposed,EvoEval_creative/11,Layer1,2,hf,Qwen/Qwen2.5-Coder-3B-Instruct,VALID_ZERO_KILL,1,0,0.9375,2946,107,3053,12012,447,13.0056,0.0,valid but unproductive: killed zero active mutants
