dataset_name,dataset_subset,entry_point,parent_task_id,selection_index,source_task_id,task_id
evoeval,creative,calculate_shipping_cost,HumanEval/0,1,EvoEval/0,EvoEval_creative/0
evoeval,creative,calculate_shipping_cost,HumanEval/1,2,EvoEval/1,EvoEval_creative/1
evoeval,creative,encrypt_message,HumanEval/2,3,EvoEval/2,EvoEval_creative/2
evoeval,creative,magical_alphabet,HumanEval/3,4,EvoEval/3,EvoEval_creative/3
evoeval,creative,candles_relight,HumanEval/4,5,EvoEval/4,EvoEval_creative/4
evoeval,creative,zigzag_traversal,HumanEval/5,6,EvoEval/5,EvoEval_creative/5
evoeval,creative,minesweeper_clicked,HumanEval/6,7,EvoEval/6,EvoEval_creative/6
evoeval,creative,find_shangri_la,HumanEval/7,8,EvoEval/7,EvoEval_creative/7
evoeval,creative,transform_canvas,HumanEval/8,9,EvoEval/8,EvoEval_creative/8
evoeval,creative,calculate_word_frequency,HumanEval/9,10,EvoEval/9,EvoEval_creative/9
evoeval,creative,count_animals,HumanEval/10,11,EvoEval/10,EvoEval_creative/10
evoeval,creative,fruity_messages,HumanEval/11,12,EvoEval/11,EvoEval_creative/11
evoeval,creative,teleporter_energy_signature,HumanEval/12,13,EvoEval/12,EvoEval_creative/12
evoeval,creative,find_rarest_element,HumanEval/13,14,EvoEval/13,EvoEval_creative/13
evoeval,creative,create_alias,HumanEval/14,15,EvoEval/14,EvoEval_creative/14
evoeval,creative,evaluate_poker_hand,HumanEval/15,16,EvoEval/15,EvoEval_creative/15
evoeval,creative,fibonacci_sum,HumanEval/16,17,EvoEval/16,EvoEval_creative/16
evoeval,creative,wizard_battle,HumanEval/17,18,EvoEval/17,EvoEval_creative/17
evoeval,creative,magical_seven,HumanEval/18,19,EvoEval/18,EvoEval_creative/18
evoeval,creative,vampires_in_matrix,HumanEval/19,20,EvoEval/19,EvoEval_creative/19
evoeval,creative,generate_pattern,HumanEval/20,21,EvoEval/20,EvoEval_creative/20
evoeval,creative,crossword_validator,HumanEval/21,22,EvoEval/21,EvoEval_creative/21
evoeval,creative,galactic_travel,HumanEval/22,23,EvoEval/22,EvoEval_creative/22
evoeval,creative,prime_cipher,HumanEval/23,24,EvoEval/23,EvoEval_creative/23
evoeval,creative,alien_language_translator,HumanEval/24,25,EvoEval/24,EvoEval_creative/24
evoeval,creative,word_frequency_analysis,HumanEval/25,26,EvoEval/25,EvoEval_creative/25
evoeval,creative,pathfinder,HumanEval/26,27,EvoEval/26,EvoEval_creative/26
evoeval,creative,split_strings,HumanEval/27,28,EvoEval/27,EvoEval_creative/27
evoeval,creative,calculate_progressive_tax,HumanEval/28,29,EvoEval/28,EvoEval_creative/28
evoeval,creative,find_palindrome_substrings,HumanEval/29,30,EvoEval/29,EvoEval_creative/29
evoeval,creative,find_path,HumanEval/30,31,EvoEval/30,EvoEval_creative/30
evoeval,creative,unique_paths,HumanEval/31,32,EvoEval/31,EvoEval_creative/31
evoeval,creative,playlist_shuffle,HumanEval/32,33,EvoEval/32,EvoEval_creative/32
evoeval,creative,magical_staircase,HumanEval/33,34,EvoEval/33,EvoEval_creative/33
evoeval,creative,werewolf_transformation,HumanEval/34,35,EvoEval/34,EvoEval_creative/34
evoeval,creative,validate_email_structure,HumanEval/35,36,EvoEval/35,EvoEval_creative/35
evoeval,creative,calculate_integral_coefficients,HumanEval/36,37,EvoEval/36,EvoEval_creative/36
evoeval,creative,string_transform,HumanEval/37,38,EvoEval/37,EvoEval_creative/37
evoeval,creative,translate_emoticons,HumanEval/38,39,EvoEval/38,EvoEval_creative/38
evoeval,creative,asciiArt,HumanEval/39,40,EvoEval/39,EvoEval_creative/39
evoeval,creative,potion_mixing,HumanEval/40,41,EvoEval/40,EvoEval_creative/40
evoeval,creative,spider_web_jump,HumanEval/41,42,EvoEval/41,EvoEval_creative/41
evoeval,creative,find_legendary_item,HumanEval/42,43,EvoEval/42,EvoEval_creative/42
evoeval,creative,space_travel,HumanEval/43,44,EvoEval/43,EvoEval_creative/43
evoeval,creative,fairy_tale_transport,HumanEval/44,45,EvoEval/44,EvoEval_creative/44
evoeval,creative,find_castle,HumanEval/45,46,EvoEval/45,EvoEval_creative/45
evoeval,creative,hidden_message,HumanEval/46,47,EvoEval/46,EvoEval_creative/46
evoeval,creative,recipe_ingredients,HumanEval/47,48,EvoEval/47,EvoEval_creative/47
evoeval,creative,wizard_inventory,HumanEval/48,49,EvoEval/48,EvoEval_creative/48
evoeval,creative,morse_decoder,HumanEval/49,50,EvoEval/49,EvoEval_creative/49
